kontroll;alvorlighet;melding;global_id;ifc_klasse;kildefil;tfm;verdi
K1;feil;Objektet mangler TFM-verdi. Forventet i egenskapssettet TFM11_Forekomst.;2vCsJhhSv30A57yz1rRWT4;IfcFlowTerminal;demo-rie.ifc;;
K2;feil;Plasseringen «11508» har 5 siffer, forventet 6.;0fHkq3sk13SeyR227xlJNU;IfcFlowTerminal;demo-rie.ifc;++11508=4310.001.12-QLF005;++11508=4310.001.12-QLF005
K3;feil;Systemkoden «9999» finnes ikke i kodetabellen «NS 3451 tabell 8».;14dZifERT5yBUaB3eWwdWe;IfcFlowTerminal;demo-rie.ifc;++115080=9999.001.12-QLF003;++115080=9999.001.12-QLF003
K4;advarsel;Systemkoden «2300» er overordnet. Mer spesifikke koder finnes: 2310, 2320. PA 0805 krever mest mulig spesifikk kode.;3FkNiHJ71DwfeCNsC31tl9;IfcFlowTerminal;demo-rie.ifc;++115080=2300.001.12-QLF004;++115080=2300.001.12-QLF004
K5;feil;Komponentkoden «XXX» finnes ikke i kodetabellen «NS 3457-8».;1lVVM6Exf0nxd4BhKPfaYS;IfcFlowTerminal;demo-riv.ifc;++115080=3600.001.04-XXX009;++115080=3600.001.04-XXX009
K6;feil;Komponentforekomsten «++115080=4310.001.12-QLF001» er brukt på 2 objekter på tvers av 2 filer (demo-rie.ifc, demo-riv.ifc). Den skal være unik.;2L6UElJdb5rA7RRQ2QpHGx;IfcFlowTerminal;demo-rie.ifc;++115080=4310.001.12-QLF001;++115080=4310.001.12-QLF001
K6;feil;Komponentforekomsten «++115080=4310.001.12-QLF001» er brukt på 2 objekter på tvers av 2 filer (demo-rie.ifc, demo-riv.ifc). Den skal være unik.;2fKDBzowPBxQknrdI97_JM;IfcFlowTerminal;demo-riv.ifc;++115080=4310.001.12-QLF001;++115080=4310.001.12-QLF001
K7;info;1 system i TFM-mastera (FIKTIV-tfm-master.csv) er ikke brukt i modellen: 3600.002.04.;;;;;
K7;info;1 komponenttype i TFM-mastera (FIKTIV-tfm-master.csv) er ikke brukt i modellen: QLF.001.001.;;;;;
K7;feil;Komponenttypen «QLF.001.003» står ikke i TFM-mastera (FIKTIV-tfm-master.csv).;0IZntvEiP4BPVihtiV_xdt;IfcLamp;demo-elektro.ifc;++115080=4310.001.13-QLF107;++115080=4310.001.13-QLF107
K7;feil;Systemforekomsten «9999.001.12» står ikke i TFM-mastera (FIKTIV-tfm-master.csv).;14dZifERT5yBUaB3eWwdWe;IfcFlowTerminal;demo-rie.ifc;++115080=9999.001.12-QLF003;++115080=9999.001.12-QLF003
K8;feil;"Objektet er tilkoblet fordelingen «Fordeling 1» med systemet 4310.001, men er merket med systemet 4320.001. Alt som mates fra samme fordeling skal tilhøre samme system; det er kursnummeret som skal variere.";1hOEdNyovEmRldgEUor7EQ;IfcLamp;demo-elektro.ifc;++115080=4320.001.12-QLF103;++115080=4320.001.12-QLF103
K8;feil;Kursnummer «14» er brukt av 2 ulike kurser på fordelingen «Fordeling 1» (Kurs 14, Kurs 14B). Kursnumre skal være unike innenfor én fordeling.;1sjwP47kLDQQ6pfc$jXW3t;IfcOutlet;demo-elektro.ifc;++115080=4310.001.14-QLF104;++115080=4310.001.14-QLF104
K8;feil;Kursnummer «14» er brukt av 2 ulike kurser på fordelingen «Fordeling 1» (Kurs 14, Kurs 14B). Kursnumre skal være unike innenfor én fordeling.;2Xr5T$cE10lfX2ES_Gzvge;IfcOutlet;demo-elektro.ifc;++115080=4310.001.14-QLF105;++115080=4310.001.14-QLF105
K8;feil;Elektroobjekt i system 4310 mangler kurs-/sløyfenummer (undernummeret er «00»). For NS 3451 kapittel 4 og 5 skal undernummeret være utfylt.;0lM$jttUzEyBK1wqFfI4eu;IfcFlowTerminal;demo-rie.ifc;++115080=4310.001.00-QLF002;++115080=4310.001.00-QLF002
K9;info;MMI «200» avviker fra resten av systemet 4310.001, der de fleste står på «300» (fordeling: 200 (1), 300 (7)).;2Xr5T$cE10lfX2ES_Gzvge;IfcOutlet;demo-elektro.ifc;++115080=4310.001.14-QLF105;200
T1;feil;Komponenttypen i typefeltet «QLF.001.005» er ikke den samme som i TFM-ID-en «QLF.001.004». De to skal beskrive samme type, og hvilken som gjelder lar seg ikke avgjøre herfra.;0gz2g5GLLDF9$UGw3kKrFE;IfcLamp;demo-elektro.ifc;++115080=4310.001.13-QLF106%QLF.001.004;++115080=4310.001.13-QLF106%QLF.001.004
